Stock,Date,Close,Daily%change
TSLA,5/20/2025 16:00:00,343.82,0.005057148704
TSLA,5/21/2025 16:00:00,334.62,-0.02675818742
TSLA,5/22/2025 16:00:00,334.62,0
TSLA,5/23/2025 16:00:00,339.34,0.01410555257
TSLA,5/27/2025 16:00:00,362.89,0.06939942241
TSLA,5/28/2025 16:00:00,356.9,-0.01650637934
TSLA,5/29/2025 16:00:00,358.43,0.004286915102
TSLA,5/30/2025 16:00:00,346.46,-0.03339564211
TSLA,6/2/2025 16:00:00,342.69,-0.01088148704
TSLA,6/3/2025 16:00:00,344.27,0.004610580992
TSLA,6/4/2025 16:00:00,332.05,-0.03549539606
TSLA,6/5/2025 16:00:00,284.7,-0.1425990062
TSLA,6/6/2025 16:00:00,295.14,0.03667017914
TSLA,6/9/2025 16:00:00,308.58,0.04553771092
TSLA,6/10/2025 16:00:00,326.09,0.05674379415
TSLA,6/11/2025 16:00:00,326.43,0.001042656935
TSLA,6/12/2025 16:00:00,319.11,-0.02242440952
TSLA,6/13/2025 16:00:00,325.31,0.01942903701
TSLA,6/16/2025 16:00:00,329.13,0.01174264548
TSLA,6/17/2025 16:00:00,316.35,-0.03882964178
TSLA,6/18/2025 16:00:00,322.05,0.01801801802
TSLA,6/20/2025 16:00:00,322.16,0.0003415618693
TSLA,6/23/2025 16:00:00,348.68,0.08231934443
TSLA,6/24/2025 16:00:00,340.47,-0.02354594471
TSLA,6/25/2025 16:00:00,327.55,-0.0379475431
TSLA,6/26/2025 16:00:00,325.78,-0.005403755152
TSLA,6/27/2025 16:00:00,323.63,-0.006599545706
TSLA,6/30/2025 16:00:00,317.66,-0.01844699194
TSLA,7/1/2025 16:00:00,300.71,-0.05335893723
TSLA,7/2/2025 16:00:00,315.65,0.04968241828
TSLA,7/3/2025 13:05:00,315.35,-0.0009504197687
TSLA,7/7/2025 16:00:00,293.94,-0.0678928175
TSLA,7/8/2025 16:00:00,297.81,0.01316595224
TSLA,7/9/2025 16:00:00,295.88,-0.00648064202
TSLA,7/10/2025 16:00:00,309.87,0.04728268217
TSLA,7/11/2025 16:00:00,313.51,0.01174686159
TSLA,7/14/2025 16:00:00,316.9,0.01081305222
TSLA,7/15/2025 16:00:00,310.78,-0.01931208583
TSLA,7/16/2025 16:00:00,321.67,0.03504086492
TSLA,7/17/2025 16:00:00,319.41,-0.007025833929
TSLA,7/18/2025 16:00:00,329.65,0.03205910898
TSLA,7/21/2025 16:00:00,328.49,-0.003518883664
TSLA,7/22/2025 16:00:00,332.11,0.01102012238
TSLA,7/23/2025 16:00:00,332.56,0.00135497275
TSLA,7/24/2025 16:00:00,305.3,-0.0819701708
TSLA,7/25/2025 16:00:00,316.06,0.03524402227
TSLA,7/28/2025 16:00:00,325.59,0.03015250269
TSLA,7/29/2025 16:00:00,321.2,-0.01348321509
TSLA,7/30/2025 16:00:00,319.04,-0.006724782067
TSLA,7/31/2025 16:00:00,308.27,-0.03375752257
TSLA,8/1/2025 16:00:00,302.63,-0.01829564992
TSLA,8/4/2025 16:00:00,309.26,0.02190794039
TSLA,8/5/2025 16:00:00,308.72,-0.001746103602
TSLA,8/6/2025 16:00:00,319.91,0.0362464369
TSLA,8/7/2025 16:00:00,322.27,0.007377074802
TSLA,8/8/2025 16:00:00,329.65,0.02290005275
TSLA,8/11/2025 16:00:00,339.03,0.02845442136
